LB,XKLB,XM,XXMC
长江青年学者,分析化学,左小磊,上海交通大学
长江青年学者,果树学,王爱德,沈阳农业大学
长江青年学者,应用数学,杜力力,四川大学
长江青年学者,发育生物学,郭帆,四川大学
长江青年学者,考古学,吕红亮,四川大学
长江青年学者,野生动植物保护与利用,毛康珊,四川大学
长江青年学者,口腔临床医学,袁泉,四川大学
长江青年学者,中国现当代文学,周维东,四川大学
长江青年学者,微电子学与固体电子学,唐建新,苏州大学
长江青年学者,材料物理与化学,张秀娟,苏州大学
长江青年学者,细胞生物学,周芳芳,苏州大学
长江青年学者,材料学,何春年,天津大学
长江青年学者,生物化工,李炳志,天津大学
长江青年学者,结构工程,师燕超,天津大学
长江青年学者,地球化学,宋照亮,天津大学
长江青年学者,机械设计与理论,王延辉,天津大学
长江青年学者,地质工程,张洁,同济大学
长江青年学者,遗传学,张勇,同济大学
长江青年学者,防灾减灾工程及防护工程,周颖,同济大学
长江青年学者,国际法学(含国际公法学、国际私法学、国际经济法学),黄志雄,武汉大学
长江青年学者,会计学,李青原,武汉大学
长江青年学者,大地测量学与测量工程,楼益栋,武汉大学
长江青年学者,计算数学,吕锡亮,武汉大学
长江青年学者,图书馆学,吴丹,武汉大学
长江青年学者,经济法学,熊伟,武汉大学
长江青年学者,地图制图学与地理信息工程,乐鹏,武汉大学
长江青年学者,地球探测与信息技术,张洪艳,武汉大学
长江青年学者,电路与系统,张向荣,西安电子科技大学
长江青年学者,机械制造及其自动化,贺健康,西安交通大学
长江青年学者,材料物理与化学,沈少华,西安交通大学
长江青年学者,核技术及应用,田文喜,西安交通大学
长江青年学者,高电压与绝缘技术,王小华,西安交通大学
长江青年学者,分析化学,赵永席,西安交通大学
长江青年学者,构造地质学,Simon Williams,西北大学
长江青年学者,文艺学,谷鹏飞,西北大学
长江青年学者,微生物学,梁海华,西北大学
长江青年学者,航空宇航制造工程,万敏,西北工业大学
长江青年学者,农业电气化与自动化,陈帝伊,西北农林科技大学
长江青年学者,统计学,常晋源,西南财经大学
长江青年学者,交通管理,肖峰,西南财经大学
长江青年学者,思想政治教育,白显良,西南大学
长江青年学者,发展与教育心理学,邱江,西南大学
长江青年学者,农业经济管理学,温涛,西南大学
长江青年学者,企业管理学,吴超鹏,厦门大学
长江青年学者,有机化学,叶龙武,厦门大学
长江青年学者,计算机系统结构,李哲涛,湘潭大学
长江青年学者,材料物理与化学,杨丽,湘潭大学
长江青年学者,皮肤病与性病学,李吉,新疆医科大学
长江青年学者,蔬菜学,尚轶,云南师范大学
长江青年学者,工程热物理,薄拯,浙江大学
长江青年学者,控制理论与控制工程,程鹏,浙江大学
长江青年学者,机械制造及其自动化,贺永,浙江大学
长江青年学者,固体力学,吕朝锋,浙江大学
长江青年学者,有机化学,史炳锋,浙江大学
长江青年学者,免疫学,王迪,浙江大学
长江青年学者,外国哲学,王俊,浙江大学
长江青年学者,新闻学,韦路,浙江大学
长江青年学者,蔬菜学,杨景华,浙江大学
长江青年学者,管理科学与工程,杨翼,浙江大学
长江青年学者,土地资源管理学,岳文泽,浙江大学
长江青年学者,药理学,张海涛,浙江大学
长江青年学者,国际法学(含国际公法学、国际私法学、国际经济法学),赵骏,浙江大学
长江青年学者,木材科学与技术,孙庆丰,浙江农林大学
长江青年学者,水文地质学,袁松虎,中国地质大学（武汉）
长江青年学者,矿产普查与勘探,左仁广,中国地质大学（武汉）
长江青年学者,电磁场与微波技术,张文逸,中国科学技术大学
长江青年学者,土地资源管理学,邓祥征,中国科学院大学
长江青年学者,病原生物学,刘翟,中国科学院大学
长江青年学者,生物物理学,孙飞,中国科学院大学
长江青年学者,基础心理学,周雯,中国科学院大学
长江青年学者,安全科学与工程,翟成,中国矿业大学
长江青年学者,采矿工程,左建平,中国矿业大学（北京）
长江青年学者,农业水土工程,李思恩,中国农业大学
长江青年学者,动物营养与饲料科学,马曦,中国农业大学
长江青年学者,社会学,冯仕政,中国人民大学
长江青年学者,传播学,胡百精,中国人民大学
长江青年学者,西方经济学,陆方文,中国人民大学
长江青年学者,财政学（含税收学）,吕冰洋,中国人民大学
长江青年学者,高分子化学与物理,王亚培,中国人民大学
长江青年学者,世界古代中世纪史,徐晓旭,中国人民大学
长江青年学者,原子与分子物理,张威,中国人民大学
长江青年学者,环境与资源保护法学,竺效,中国人民大学
长江青年学者,油气储运工程,王玮,中国石油大学（北京）
长江青年学者,化工过程机械,蒋文春,中国石油大学（华东）
长江青年学者,固体地球物理学,宗兆云,中国石油大学（华东）
长江青年学者,科学技术哲学,费多益,中国政法大学
长江青年学者,大地测量学与测量工程,胡俊,中南大学
长江青年学者,冶金物理化学,纪效波,中南大学
长江青年学者,生物化学与分子生物学,黄盛丰,中山大学
长江青年学者,社会学,梁玉成,中山大学
长江青年学者,环境工程,孟凡刚,中山大学
长江青年学者,外科学（普外）,苏士成,中山大学
长江青年学者,金融学（含保险学）,杨子晖,中山大学
长江青年学者,中国现当代文学,张均,中山大学
长江青年学者,动物学,张鹏,中山大学
长江青年学者,新闻学,张志安,中山大学
长江青年学者,思想政治教育,冯秀军,中央财经大学
